LoanID,CustomerID,Amount,InterestRate,LoanDate,TermMonths
172,142941,41707.4,15.45,2020-07-18,60
173,121834,28682.46,12.96,2023-07-16,60
174,118047,37964.58,5.78,2021-07-09,48
175,126105,37523.73,8.83,2024-11-26,36
176,175766,39622.16,14.8,2021-08-11,24
177,115707,43591.09,15.42,2021-07-16,36
178,121976,46053.73,18.38,2024-08-16,6
179,144262,19796.84,9.42,2021-04-05,36
180,123776,22742.16,7.91,2021-07-17,6
181,130080,3452.89,10.82,2023-08-04,24
182,166842,46359.61,13.95,2024-12-18,60
183,161373,29770.12,5.09,2021-07-18,24
184,106776,35903.41,9.58,2022-04-15,12
185,192787,22364.26,13.93,2023-02-07,24
186,155016,24218.55,18.18,2024-11-09,36
187,109474,27615.65,7.79,2021-03-06,48
188,158053,39972.48,13.21,2021-09-05,48
189,121959,31035.46,14.46,2024-11-27,12
190,105530,40749.31,14.68,2023-08-29,60
191,194856,11617.62,11.4,2022-05-23,36
192,103748,11086.1,10.33,2022-08-20,36
193,197504,11133.87,7.19,2023-08-06,48
194,198098,1237.35,8.51,2023-03-08,36
195,113545,9774.12,8.68,2024-07-27,60
196,166199,6818.6,15.46,2023-07-20,60
197,134766,23233.96,11.24,2021-10-07,24
198,173530,7234.79,19.77,2024-05-10,60
199,193557,21376.73,16.03,2021-05-16,36
200,161087,49975.65,17.38,2020-05-17,6
201,195839,25664.99,14.33,2023-03-30,24
202,168840,46307.71,11.4,2020-06-23,6
203,154384,35393.51,16.88,2022-02-25,60
204,151005,44821.72,16.77,2021-08-16,24
205,146576,31653.45,18.07,2024-09-20,48
206,139353,40694.63,9.07,2024-08-17,6
207,162003,15837.22,8.8,2022-12-14,6
208,183211,19223.54,19.77,2024-04-21,48
209,152733,48052.73,13.81,2022-08-11,24
210,165318,14109.16,16.7,2023-03-05,12
211,189474,21647.23,18.53,2020-11-21,6
212,123664,32906.78,19.73,2022-12-20,6
213,167172,20227.76,14.58,2022-11-04,6
214,185616,2026.31,19.25,2022-08-24,60
215,193264,39819.29,18.3,2020-07-27,12
216,126736,17446.8,17.32,2022-11-12,12
217,194209,12155.57,7.83,2024-08-19,60
218,100854,25772.72,19.4,2024-07-13,48
219,190084,1413.19,17.12,2020-06-07,36
220,138623,43330.77,18.01,2022-06-28,60
221,107392,13806.15,10.4,2022-02-20,6
222,155680,46214.59,11.79,2024-11-05,6
223,146717,34210.08,8.04,2024-08-18,60
224,187092,27883.79,19.38,2024-01-14,6
225,150859,40506.52,6.01,2022-10-30,48
226,126309,49669.57,14.63,2022-09-10,6
227,187455,13309.24,5.63,2022-08-26,12
228,163734,18399.71,15.02,2021-04-19,24
229,170467,24736.8,18.6,2023-01-29,48
230,152662,27434.4,10.31,2021-09-06,36
231,198506,28095.56,9.52,2023-07-22,24
232,112688,27899.65,8.95,2024-12-11,12
233,125342,41583.84,16.54,2022-07-28,24
234,137157,20825.43,15.13,2022-02-16,24
235,167863,1537.59,19.53,2023-03-30,60
236,152083,43908.99,9.92,2024-12-24,48
237,165733,33450.36,16.95,2020-08-25,24
238,189045,10284.59,7.54,2022-02-24,24
239,134698,2450.44,15.27,2023-05-28,24
240,180623,16473.21,8.11,2024-08-08,12
241,122671,7097.94,12.33,2020-07-09,6
242,125184,44944.45,8.11,2020-09-06,24
243,193384,14615.45,15.66,2023-06-10,24
244,142107,35577.64,19.83,2024-08-04,24
245,186202,33241.47,14.42,2022-10-29,24
246,151663,35984.77,11.97,2023-12-02,12
247,115708,26972.07,16.47,2021-04-12,36
248,191906,36754.36,17.81,2023-04-12,48
249,149811,26107.21,12.63,2024-08-03,12
250,102811,19502.75,6.15,2021-12-17,60
251,156250,43063.62,18.11,2022-05-29,6
252,172082,23477.58,15.33,2021-06-11,60
253,134754,28833.82,16.38,2023-05-04,24
254,195742,23785.26,15.48,2022-08-10,36
255,111411,38999.43,14.37,2020-03-24,36
256,102911,27447.95,5.4,2021-03-30,24
257,167270,24068.17,16.6,2023-10-14,36
258,183763,13633.44,18.01,2020-01-31,6
259,108680,45665.55,15.28,2021-11-12,6
260,184896,43295.34,5.54,2020-10-03,60
261,183879,22143.19,10.75,2023-09-01,36
262,171295,33326.25,12.72,2023-02-09,36
263,188614,25897.54,17.5,2024-08-18,24
264,111111,9632.99,10.78,2024-02-13,36
265,137504,19425.43,18.67,2021-06-05,24
266,101802,42807.67,13.46,2022-05-04,48
267,108155,40074.46,9.69,2020-09-22,60
268,173656,6022.07,8.92,2020-11-14,12
269,139384,4690.75,5.8,2023-07-12,60
270,147254,42822.32,18.62,2020-09-03,24
271,121918,45066.1,13.09,2021-02-15,6
272,185981,15417.42,8.4,2023-03-09,48
273,160713,18115.04,7.2,2024-05-21,12
274,130306,17454.34,5.12,2022-03-17,48
275,116646,7221.45,12.2,2022-05-05,6
276,146843,37505.52,9.58,2020-05-08,12
277,196601,19134.21,9.85,2024-11-24,36
278,190735,41975.13,6.17,2022-05-15,6
279,116371,44047.44,19.58,2024-02-02,60
280,177371,45726.88,14.77,2023-01-24,60
281,102049,41079.16,10.5,2023-07-04,24
282,131616,39656.63,10.23,2021-02-17,12
283,120932,23024.91,11.72,2024-01-07,24
284,129855,2320.43,13.15,2023-03-09,6
285,161434,6491.07,13.26,2022-04-02,48
286,172694,27012.89,12.77,2021-02-08,48
287,143016,18641.25,16.11,2022-07-07,24
288,107400,41625.01,12.36,2020-07-08,24
289,142642,28593.85,18.43,2022-11-19,36
290,115151,5842.85,6.04,2023-09-03,60
291,151407,24448.02,14.04,2021-06-25,48
292,166690,41276.19,16.11,2020-02-24,48
293,104499,43290.98,6.13,2020-09-17,6
294,106295,9136.81,10.87,2020-05-15,6
295,159040,5914.69,15.01,2023-08-05,48
296,112183,19962.54,17.0,2021-12-10,36
297,129299,4210.26,18.06,2023-02-07,36
298,112874,36591.62,9.72,2023-10-31,36
299,132711,22929.1,13.34,2021-02-05,12
300,105539,10712.92,5.53,2024-01-21,48
301,153351,6020.98,8.96,2022-06-13,36
302,161267,46440.25,10.76,2022-08-08,36
303,148354,3109.93,9.41,2020-11-26,12
304,102557,5796.04,17.06,2022-10-20,12
305,138360,12477.57,16.46,2020-01-19,24
306,182018,5638.85,6.19,2021-07-01,12
307,102200,32569.93,9.5,2024-07-05,60
308,168497,11692.73,16.06,2022-08-23,6
309,146975,24516.57,6.76,2021-11-13,36
310,121357,43151.91,7.96,2020-12-11,12
311,177505,41413.83,13.4,2022-11-24,48
312,102869,8165.95,12.31,2021-08-27,60
313,161135,5347.83,8.59,2022-05-29,48
314,150108,33548.31,6.56,2024-08-18,60
315,194179,11304.95,5.61,2020-10-28,6
316,190272,39291.17,16.82,2023-06-19,36
317,138467,22289.94,10.1,2024-11-27,6
318,123328,8571.47,17.57,2022-11-26,36
319,191412,48736.59,12.18,2021-05-19,12
320,186831,3725.1,17.94,2020-06-18,24
321,103987,7090.42,13.39,2024-05-22,48
322,158871,40789.81,17.65,2022-11-17,60
323,122399,23181.58,6.04,2021-01-21,12
324,146214,46964.54,12.95,2024-01-21,36
325,199522,6536.46,13.5,2022-01-26,24
326,186416,8692.2,18.81,2023-08-29,36
327,170271,1089.4,16.31,2020-07-23,60
328,144064,11638.67,16.07,2021-01-05,24
329,170091,33205.77,5.83,2022-07-26,60
330,140818,36443.19,15.7,2020-11-15,24
331,145525,22067.04,8.13,2023-02-02,12
332,119830,13610.55,19.12,2021-12-17,12
333,117429,36100.16,14.45,2022-10-23,24
334,106893,9457.88,19.97,2021-10-25,24
335,179909,38587.21,18.22,2020-03-02,60
336,147333,39542.89,17.36,2020-06-22,36
337,103436,22612.63,19.51,2024-08-16,24
338,174290,10486.77,10.48,2021-07-02,12
339,176213,31863.82,17.32,2022-12-05,24
340,105895,42819.27,7.04,2022-04-30,60
341,119738,26945.86,17.02,2021-03-08,36
342,130746,23592.33,15.67,2024-11-14,12
343,149377,48981.97,5.29,2021-09-13,12
344,148404,27333.85,6.4,2020-08-16,48
345,154045,2676.6,8.37,2023-04-01,6
346,197888,25600.45,13.59,2022-05-16,48
347,139790,22818.3,6.06,2020-05-17,12
348,105600,15313.1,19.93,2022-04-30,6
349,194660,16550.32,16.65,2020-01-02,24
350,193179,46610.44,13.82,2020-01-26,12
351,140764,7546.25,11.62,2022-07-01,24
352,174543,38437.82,12.06,2024-12-22,12
353,145714,45218.57,8.87,2024-05-18,6
354,156835,13714.73,13.32,2022-08-15,60
355,173744,4273.92,14.17,2024-11-26,36
356,156491,16050.16,19.94,2024-12-27,6
357,118589,22211.18,9.36,2023-04-28,48
358,143484,47619.79,12.35,2021-03-05,36
359,182989,22076.9,17.76,2020-10-27,36
360,136212,5510.79,16.72,2024-05-14,48
361,143525,8197.55,6.42,2023-04-02,24
362,147202,18283.91,7.27,2022-11-12,36
363,132635,10025.2,6.93,2023-06-07,6
364,163208,3967.79,9.27,2023-09-18,60
365,133828,9587.73,10.38,2023-04-04,48
366,118711,6169.05,7.84,2021-03-09,6
367,103420,10932.22,12.53,2022-02-27,36
368,196752,49826.26,7.85,2021-06-14,12
369,100301,22825.02,12.53,2020-12-24,60
370,145236,33271.37,10.04,2021-01-03,36
371,166235,9098.81,14.27,2021-05-01,6
372,154240,42615.29,12.22,2023-10-06,12
373,165726,14078.4,16.93,2021-12-30,12
374,110492,49142.04,9.56,2024-03-30,36
375,106102,41998.68,9.28,2022-01-17,60
376,150336,47592.7,16.58,2021-01-18,36
377,185314,33746.8,7.26,2024-01-22,36
378,126641,33246.5,16.14,2023-06-08,60
379,134584,42213.76,19.07,2023-08-21,60
380,132745,36052.75,6.24,2024-12-22,6
381,123093,30703.25,16.36,2020-12-21,48
382,166105,18555.17,13.02,2022-10-26,24
383,151885,11920.48,7.67,2021-08-05,36
384,136631,39329.98,14.38,2023-02-05,12
385,172991,19916.44,8.06,2023-09-01,12
386,104014,3999.04,15.94,2021-01-22,24
387,111093,24501.48,16.62,2024-10-13,6
388,118070,33218.07,10.66,2024-11-21,12
389,135777,2128.88,14.8,2021-12-04,48
390,156958,35550.93,15.79,2022-11-17,36
391,182074,12009.47,13.32,2021-07-03,6
392,110729,11895.5,15.02,2024-05-21,36
393,199713,28581.19,19.74,2020-03-26,36
394,145017,17527.42,13.28,2024-10-06,24
395,166320,23078.6,15.17,2022-08-07,36
396,127751,26139.08,19.01,2021-05-29,60
397,178069,46130.14,17.59,2021-02-17,60
398,154748,11040.13,10.88,2023-05-17,48
399,105801,23751.05,16.3,2022-04-09,48
400,119190,39513.37,12.9,2024-07-18,36
401,149689,11053.19,7.85,2023-12-14,60
402,150993,5036.7,9.32,2024-01-24,60
403,129592,1870.46,5.71,2022-09-06,6
404,110647,6082.92,10.15,2020-08-21,48
405,108716,14454.94,17.2,2022-06-20,12
406,188891,21053.57,18.66,2022-03-18,36
407,187545,30094.92,17.99,2020-07-22,12
408,189912,10804.44,5.86,2022-03-27,12
409,170316,14215.09,15.7,2021-02-25,60
410,102368,35254.94,8.79,2021-12-08,60
411,177575,45541.39,12.15,2020-02-28,48
412,106655,7640.22,15.76,2020-04-10,24
413,170031,24153.24,6.8,2021-02-02,60
414,176429,15475.48,11.43,2023-06-13,24
415,191083,26870.54,13.95,2020-01-23,6
416,187922,6837.43,16.16,2020-05-17,6
417,155766,14280.91,12.52,2022-04-29,24
418,113403,35734.23,11.64,2023-01-04,24
419,132097,41146.19,6.79,2020-04-06,36
420,178657,31460.63,14.09,2021-08-29,12
421,110966,47278.49,5.64,2023-06-05,60
422,199157,32992.13,6.47,2023-05-26,48
423,193848,37583.06,12.29,2024-03-21,12
424,152921,18513.93,19.26,2021-06-15,36
425,149726,9323.55,6.08,2021-08-18,60
426,150300,33235.99,14.25,2024-12-20,36
427,122677,46035.26,6.4,2024-12-09,12
428,155609,49113.15,18.86,2021-02-15,36
429,196825,23052.31,16.57,2023-01-25,60
430,156661,27445.64,13.19,2020-06-23,24
431,131024,16249.54,17.78,2024-01-11,60
432,170313,33953.22,13.34,2022-05-22,24
433,153006,38495.82,18.92,2024-05-21,60
434,195285,3018.63,6.4,2021-01-10,48
435,115338,42484.81,12.81,2023-11-28,60
436,168027,26176.12,8.64,2022-04-05,36
437,192772,29406.03,16.41,2021-05-30,48
438,180135,11105.08,12.91,2022-11-27,24
439,119508,1504.72,7.39,2023-10-18,48
440,103051,47657.96,14.72,2024-09-08,60
441,148747,46491.62,12.0,2024-11-19,12
442,187142,38942.67,17.67,2022-03-16,36
443,187235,24206.27,6.93,2023-10-26,48
444,154021,16563.43,16.7,2022-07-29,36
445,166412,8647.83,18.83,2022-01-06,48
446,158335,4965.1,11.15,2021-03-20,60
447,156179,23407.95,16.8,2024-03-19,6
448,132093,39820.11,6.25,2024-07-12,12
449,169678,36570.19,19.6,2021-03-31,12
450,180738,38040.77,5.95,2024-10-24,24
451,139734,6813.86,15.73,2022-06-23,60
452,172615,43274.71,18.28,2021-03-20,12
453,173523,40394.65,11.34,2024-07-15,12
454,194476,5610.35,7.22,2024-11-16,12
455,117019,18470.11,11.95,2022-01-31,12
456,183613,19385.99,18.88,2022-05-17,48
457,191794,37020.47,13.75,2020-09-24,60
458,186672,43163.69,8.92,2024-01-30,48
459,173847,19410.56,7.15,2020-12-06,12
460,182750,7411.11,5.37,2022-05-26,60
461,179634,5045.52,13.16,2022-04-25,6
462,128251,32303.26,18.21,2024-11-13,36
463,125945,25400.93,19.43,2022-11-09,6
464,190852,45200.36,6.24,2023-12-23,48
465,132217,47722.88,7.53,2024-06-26,48
466,108308,45004.82,5.5,2020-03-30,24
467,105949,4706.05,16.83,2024-10-02,60
468,151990,14928.93,10.25,2022-12-26,36
469,101150,12701.56,9.73,2024-05-17,6
470,189480,4364.5,11.24,2020-05-04,36
471,174740,45995.35,9.71,2021-08-10,6
472,166617,44844.52,15.57,2021-02-07,60
473,194841,20147.59,12.55,2021-03-18,12
474,116896,47976.79,14.37,2023-01-10,48
475,146175,28603.94,10.67,2021-03-22,6
476,107805,22267.55,9.09,2024-02-26,24
477,105237,27932.85,5.49,2020-11-15,24
478,120056,21680.72,8.8,2023-10-08,48
479,145543,15302.47,6.96,2021-06-09,48
480,156556,9874.01,11.84,2023-10-24,60
481,103343,23570.63,12.41,2024-02-24,12
482,113500,27008.06,5.48,2023-06-01,60
483,153222,41259.46,19.05,2020-02-29,36
484,129375,24195.55,17.71,2023-12-29,24
485,109662,41641.17,14.34,2022-08-30,12
486,116964,47777.96,18.69,2020-09-13,48
487,159638,36352.89,16.03,2023-05-16,48
488,173666,6866.01,6.37,2024-08-01,60
489,185067,23602.0,7.88,2023-11-01,60
490,167215,42978.78,7.52,2022-04-18,12
491,169042,25090.46,5.99,2024-06-29,24
492,113284,40725.66,6.63,2022-06-30,24
493,172789,39018.84,18.23,2020-03-22,24
494,184664,8832.39,15.73,2024-09-19,60
495,193468,17144.93,19.64,2022-05-09,24
496,161389,38431.64,14.11,2020-11-17,36
497,109435,8799.72,9.85,2022-12-06,48
498,154340,21716.7,9.77,2024-02-25,60
499,144078,7730.46,15.33,2023-02-18,12
500,178832,12549.5,7.33,2020-05-20,48
501,151293,14995.43,10.06,2020-07-21,6
502,195981,26983.0,14.64,2023-07-28,6
503,178781,45683.33,19.23,2020-02-24,6
504,160403,19892.33,15.29,2024-12-17,6
505,129124,42648.32,11.65,2023-05-27,24
506,195435,35063.71,7.93,2021-06-08,12
507,143919,39242.23,19.71,2022-10-25,24
508,135247,38348.11,9.79,2022-04-24,12
509,194758,15803.78,13.39,2021-01-13,12
510,191747,12576.27,10.34,2022-10-16,36
511,162752,48901.58,7.37,2021-11-20,36
512,156573,37153.54,14.84,2020-08-06,60
513,159101,18923.14,18.94,2024-04-16,36
514,126646,28164.73,8.69,2020-08-01,12
515,123049,39017.72,12.18,2021-04-17,6
516,179605,3732.64,16.9,2023-08-05,60
517,198116,5852.59,6.51,2024-03-22,60
518,197379,2228.89,16.43,2024-07-08,12
519,168385,9039.28,16.26,2021-05-14,12
520,140158,6848.37,15.48,2020-12-22,36
521,165417,23689.6,14.84,2021-01-03,6
522,123289,15072.77,5.12,2024-03-16,6
523,109823,3233.89,17.32,2024-06-25,24
524,160160,23022.75,12.04,2023-02-14,48
525,141975,29350.26,16.85,2020-06-30,24
526,109540,19141.28,6.14,2023-09-10,6
527,116364,13757.1,8.3,2021-04-15,48
528,104611,20132.32,12.81,2020-04-15,60
529,127663,26475.01,8.67,2022-06-02,48
530,151991,22365.36,12.45,2021-10-17,48
531,157679,5570.5,10.9,2023-08-03,6
532,130977,23385.07,6.96,2021-06-18,36
533,194704,36296.33,5.89,2022-01-23,60
534,149115,41179.86,11.2,2024-02-10,48
535,191007,22537.38,10.18,2022-01-13,60
536,188223,49695.86,12.14,2020-11-18,48
537,160890,42300.06,9.65,2024-12-21,24
538,166387,11553.87,15.02,2021-03-08,48
539,118071,23381.74,18.03,2024-12-19,6
540,159275,15477.74,15.07,2023-02-10,60
541,172369,27961.76,19.03,2024-01-13,48
542,111938,11981.83,14.24,2023-12-28,48
543,135195,2726.24,6.65,2020-10-18,24
544,191680,45314.71,8.29,2021-06-17,48
545,104000,26468.28,17.56,2024-09-19,36
546,170588,45833.15,10.93,2024-05-24,24
547,193610,6789.43,9.29,2021-02-17,24
548,197856,8422.65,7.8,2022-05-08,60
549,138304,12097.72,12.68,2020-05-01,6
550,169449,23398.83,18.2,2024-06-29,48
551,182986,44120.1,16.82,2020-02-15,12
552,189643,32870.18,5.05,2022-06-21,48
553,120764,3695.23,12.7,2024-08-28,12
554,186027,20952.58,13.87,2023-01-18,60
555,138494,36439.47,12.92,2022-05-08,12
556,103373,16796.93,18.12,2024-01-04,48
557,112161,25135.52,15.56,2023-04-17,48
558,197532,35860.1,18.98,2024-03-02,48
559,192658,48284.27,14.93,2020-02-13,60
560,127350,17327.46,17.67,2023-11-17,60
561,193008,37474.5,8.21,2020-06-05,36
562,194297,37622.76,5.47,2020-11-17,48
563,125351,27592.41,16.87,2020-01-08,6
564,188668,40854.86,11.18,2020-10-14,48
565,115305,27269.7,9.43,2024-11-05,60
566,175353,31624.95,5.47,2020-04-14,24
567,176797,42023.88,15.69,2021-05-12,12
568,165953,24337.01,12.94,2023-02-26,48
569,157458,24419.82,14.65,2024-04-28,48
570,120358,29960.91,6.71,2021-04-15,12
571,103267,40405.54,19.52,2024-02-24,12
572,182745,7232.12,15.09,2020-08-28,12
573,189588,38789.63,11.73,2023-03-03,24
574,138513,15443.2,13.3,2024-08-22,36
575,126092,4480.63,10.44,2021-11-20,48
576,111338,39816.6,6.37,2021-02-16,12
577,100412,8112.02,10.57,2024-12-04,36
578,107543,11449.87,8.69,2020-01-15,60
579,133496,35602.22,16.9,2020-07-15,48
580,160692,28661.61,16.17,2023-12-28,12
581,189084,46104.32,15.71,2024-01-25,60
582,192920,47762.39,5.16,2021-09-16,48
583,144425,16384.12,14.55,2023-07-20,6
584,138756,16885.67,10.78,2021-09-12,24
585,118888,11277.35,19.24,2022-12-27,6
586,135735,26363.21,19.49,2023-04-05,24
587,147295,19521.39,13.77,2022-01-18,60
588,183042,1717.99,16.09,2020-12-22,60
589,185999,20352.81,17.85,2023-04-25,6
590,117955,4023.38,12.37,2024-11-20,6
591,137841,40153.16,12.67,2021-11-21,48
592,170640,46515.76,16.35,2021-12-05,60
593,165510,15495.37,18.58,2022-12-20,60
594,134911,32884.95,18.7,2024-06-17,48
595,159031,5337.53,17.92,2023-03-16,60
596,188726,18812.67,7.45,2022-04-24,60
597,107357,29219.74,15.08,2022-06-12,48
598,132479,6104.46,19.78,2021-07-11,60
599,161476,19479.85,14.24,2023-06-24,12
600,144811,47806.82,13.44,2022-03-30,24
601,136208,9138.05,19.42,2023-09-22,12
602,120150,31391.25,19.4,2024-02-09,6
603,171180,41834.04,6.05,2022-12-17,60
604,143286,38787.37,15.56,2024-02-20,36
605,168450,38797.71,13.82,2022-06-10,24
